msoa_code,income_before_housing,income_after_housing,housing_cost,housing_cost_pct
W02000374,45.481,38.427,7.054000000000002,15.5
W02000375,32.628,29.195,3.433,10.5
W02000376,38.837,34.504,4.3330000000000055,11.2
W02000377,37.698,33.057,4.640999999999998,12.3
W02000378,40.905,41.43,-0.5249999999999986,-1.3
W02000379,28.382,25.023,3.3590000000000018,11.8
W02000380,44.562,40.684,3.878,8.7
W02000381,31.332,27.556,3.776,12.1
W02000382,28.305,27.41,0.8949999999999996,3.2
W02000383,30.231,27.026,3.205000000000002,10.6
W02000384,45.419,48.679,-3.260000000000005,-7.2
W02000385,41.691,37.594,4.097000000000001,9.8
W02000386,40.52,41.53,-1.009999999999998,-2.5
W02000387,38.957,40.729,-1.7719999999999985,-4.5
W02000388,33.727,31.969,1.7579999999999956,5.2
W02000389,32.773,30.589,2.1840000000000046,6.7
W02000390,41.354,35.762,5.591999999999999,13.5
W02000391,34.085,36.955,-2.8699999999999974,-8.4
W02000392,43.871,38.709,5.161999999999999,11.8
W02000393,33.085,30.296,2.7890000000000015,8.4
W02000394,26.918,28.362,-1.443999999999999,-5.4
W02000395,40.307,39.039,1.2680000000000007,3.1
W02000396,35.345,31.96,3.384999999999998,9.6
W02000397,31.623,32.259,-0.6359999999999992,-2.0
W02000398,25.824,27.289,-1.4649999999999999,-5.7
W02000399,30.505,29.128,1.376999999999999,4.5
W02000400,46.88,39.243,7.6370000000000005,16.3
W02000401,39.694,41.216,-1.5219999999999985,-3.8
W02000402,29.443,25.36,4.083000000000002,13.9
W02000403,33.03,26.914,6.116,18.5
W02000404,30.042,27.833,2.209000000000003,7.4
W02000405,26.27,24.462,1.8079999999999998,6.9
W02000406,38.284,36.586,1.6980000000000004,4.4
W02000407,29.04,25.822,3.218,11.1
W02000408,26.88,25.019,1.8610000000000007,6.9
W02000409,31.54,27.635,3.9049999999999976,12.4
W02000410,30.136,28.381,1.754999999999999,5.8
W02000411,28.917,26.655,2.2620000000000005,7.8
W02000412,29.623,28.039,1.5839999999999996,5.3
W02000422,52.044,31.091,20.952999999999996,40.3
W02000423,33.249,27.32,5.929000000000002,17.8
W02000252,29.14,26.305,2.835000000000001,9.7
W02000253,32.282,29.364,2.9179999999999957,9.0
W02000254,31.514,30.133,1.3810000000000002,4.4
W02000255,31.506,29.885,1.6209999999999987,5.1
W02000256,28.873,26.922,1.9510000000000005,6.8
W02000257,29.191,26.729,2.4619999999999997,8.4
W02000258,28.485,25.407,3.0779999999999994,10.8
W02000259,28.14,24.462,3.678000000000001,13.1
W02000260,28.708,24.428,4.279999999999998,14.9
